date,cases,deaths
2020-01-31,2,0
2020-02-01,2,0
2020-02-02,2,0
2020-02-03,8,0
2020-02-04,8,0
2020-02-05,9,0
2020-02-06,9,0
2020-02-07,9,0
2020-02-08,13,0
2020-02-09,14,0
2020-02-10,14,0
2020-02-11,15,0
2020-02-12,16,0
2020-02-13,17,0
2020-02-14,18,0
2020-02-15,18,0
2020-02-16,18,0
2020-02-17,19,0
2020-02-18,19,0
2020-02-19,20,0
2020-02-20,22,0
2020-02-21,23,0
2020-02-22,23,0
2020-02-23,28,0
2020-02-24,30,0
2020-02-25,34,0
2020-02-26,37,0
2020-02-27,44,0
2020-02-28,56,0
2020-02-29,61,0
2020-03-01,94,0
2020-03-02,134,0
2020-03-03,189,0
2020-03-04,245,0
2020-03-05,294,0
2020-03-06,373,1
2020-03-07,428,2
2020-03-08,482,2
2020-03-09,629,3
2020-03-10,887,7
2020-03-11,1298,7
2020-03-12,1787,9
2020-03-13,2266,10
2020-03-14,2630,29
2020-03-15,3072,43
2020-03-16,3684,65
2020-03-17,4452,82
2020-03-18,5451,116
2020-03-19,6506,162
2020-03-20,7760,194
2020-03-21,8957,252
2020-03-22,10368,288
2020-03-23,12707,364
2020-03-24,15088,512
2020-03-25,17782,703
2020-03-26,20870,884
2020-03-27,24089,1173
2020-03-28,26929,1465
2020-03-29,29799,1677
2020-03-30,34080,2053
2020-03-31,38598,2456
2020-04-01,43536,3128
2020-04-02,48432,3785
2020-04-03,53356,4522
2020-04-04,57427,5279
2020-04-05,61038,5880
2020-04-06,66367,6447
2020-04-07,71827,7554
2020-04-08,76979,8584
2020-04-09,81847,9702
2020-04-10,86171,10825
2020-04-11,89772,11669
2020-04-12,93288,12326
2020-04-13,97480,13051
2020-04-14,101820,14128
2020-04-15,106894,15008
2020-04-16,112197,16048
2020-04-17,117170,16962
2020-04-18,121895,18070
2020-04-19,125758,18503
2020-04-20,130627,19074
2020-04-21,135391,20298
2020-04-22,140884,21148
2020-04-23,146035,21830
2020-04-24,151009,22845
2020-04-25,154778,23662
2020-04-26,158248,24026
2020-04-27,162953,24346
2020-04-28,167676,25315
2020-04-29,173113,26084
2020-04-30,178074,26719
2020-05-01,182807,27417
2020-05-02,186029,28003
2020-05-03,189003,28257
2020-05-04,192382,28530
2020-05-05,196067,29256
2020-05-06,199899,29903
2020-05-07,203666,30361
2020-05-08,206715,30941
2020-05-09,208865,31216
2020-05-10,211186,31433
2020-05-11,214769,31620
2020-05-12,218161,32235
2020-05-13,221459,32682
2020-05-14,224069,33035
2020-05-15,226586,33385
2020-05-16,228651,33796
2020-05-17,230477,33863
2020-05-18,233051,34009
2020-05-19,236097,34509
2020-05-20,238804,34837
2020-05-21,241346,35111
2020-05-22,243379,35403
2020-05-23,244886,35623
2020-05-24,246234,36002
2020-05-25,247841,36106
2020-05-26,249491,36237
2020-05-27,251294,36659
2020-05-28,253028,37002
2020-05-29,254533,37276
2020-05-30,255632,37430
2020-05-31,256701,37490
2020-06-01,258135,37576
2020-06-02,259602,37825
2020-06-03,260944,38079
2020-06-04,262178,38210
2020-06-05,263284,38468
2020-06-06,264075,38611
2020-06-07,264792,38665
2020-06-08,265880,38712
2020-06-09,267033,38907
2020-06-10,268217,39071
2020-06-11,269218,39147
2020-06-12,270271,39278
2020-06-13,271158,39385
2020-06-14,271965,39412
2020-06-15,272991,39441
2020-06-16,274068,39561
2020-06-17,275068,39671
2020-06-18,276088,39738
2020-06-19,277070,39822
2020-06-20,277736,39893
2020-06-21,278358,39925
2020-06-22,279250,39939
2020-06-23,280132,40033
2020-06-24,280906,40120
2020-06-25,281603,40219
2020-06-26,282243,40296
2020-06-27,282876,40336
2020-06-28,283271,40367
2020-06-29,283875,40388
2020-06-30,284278,40441
2020-07-01,284338,40538
2020-07-02,284342,40579
2020-07-03,284844,40628
2020-07-04,285468,40660
2020-07-05,285984,40679
2020-07-06,286336,40690
2020-07-07,286917,40744
2020-07-08,287552,40801
2020-07-09,288194,40832
2020-07-10,288706,40866
2020-07-11,289526,40883
2020-07-12,290176,40892
2020-07-13,290706,40902
2020-07-14,291950,40946
2020-07-15,292488,40972
2020-07-16,293129,40996
2020-07-17,293816,41022
2020-07-18,294645,41031
2020-07-19,295371,41042
2020-07-20,295951,41052
2020-07-21,296396,41077
2020-07-22,296956,41094
2020-07-23,297725,41103
2020-07-24,298493,41135
2020-07-25,299260,41150
2020-07-26,300006,41158
2020-07-27,300691,41161
2020-07-28,301238,41182
2020-07-29,302037,41216
2020-07-30,302884,41216
2020-07-31,303764,41236
2020-08-01,304525,41249
2020-08-02,305268,41254
2020-08-03,306207,41255
2020-08-04,306877,41273
2020-08-05,307771,41287
2020-08-06,308721,41305
2020-08-07,309593,41317
2020-08-08,310352,41320
2020-08-09,311414,41325
2020-08-10,312232,41343
2020-08-11,313380,41356
2020-08-12,314389,41376
2020-08-13,315520,41394
2020-08-14,316962,41405
2020-08-15,317977,41408
2020-08-16,319084,41413
2020-08-17,319797,41416
2020-08-18,320888,41428
2020-08-19,321701,41445
2020-08-20,322884,41451
2020-08-21,323919,41453
2020-08-22,325207,41471
2020-08-23,326250,41477
2020-08-24,327222,41481
2020-08-25,328406,41497
2020-08-26,329457,41513
2020-08-27,330981,41525
2020-08-28,332259,41534
2020-08-29,333368,41546
2020-08-30,335085,41547
2020-08-31,336491,41549
2020-09-01,337786,41552
2020-09-02,339296,41562
2020-09-03,341032,41575
2020-09-04,342976,41585
2020-09-05,344789,41597
2020-09-06,347777,41599
2020-09-07,350725,41602
2020-09-08,353187,41634
2020-09-09,355846,41642
2020-09-10,358768,41656
2020-09-11,362308,41662
2020-09-12,365806,41671
2020-09-13,369137,41676
2020-09-14,371760,41685
2020-09-15,374864,41712
2020-09-16,378857,41732
2020-09-17,382255,41753
2020-09-18,386579,41780
2020-09-19,391002,41807
2020-09-20,394903,41825
2020-09-21,399274,41836
2020-09-22,404201,41873
2020-09-23,410381,41910
2020-09-24,417017,41950
2020-09-25,423890,41984
2020-09-26,429931,42019
2020-09-27,435628,42036
2020-09-28,439673,42049
2020-09-29,446817,42120
2020-09-30,453928,42191
2020-10-01,460846,42250
2020-10-02,467820,42316
2020-10-03,480691,42365
2020-10-04,503656,42398
2020-10-05,516251,42417
2020-10-06,530797,42493
2020-10-07,544965,42563
2020-10-08,562510,42640
2020-10-09,576378,42727
2020-10-10,591545,42808
2020-10-11,604426,42873
2020-10-12,618408,42923
2020-10-13,635643,43066
2020-10-14,655382,43203
2020-10-15,674365,43341
2020-10-16,690001,43477
2020-10-17,706174,43627
2020-10-18,723155,43694
2020-10-19,741968,43774
2020-10-20,763305,44015
2020-10-21,789997,44206
2020-10-22,811242,44395
2020-10-23,831781,44619
2020-10-24,854802,44793
2020-10-25,874599,44944
2020-10-26,895495,45046
2020-10-27,918386,45413
2020-10-28,943097,45723
2020-10-29,966167,46003
2020-10-30,990577,46277
2020-10-31,1012494,46603
2020-11-01,1035755,46765
2020-11-02,1054715,46901
2020-11-03,1074737,47298
2020-11-04,1099924,47790
2020-11-05,1124076,48168
2020-11-06,1147376,48523
2020-11-07,1172352,48936
2020-11-08,1192940,49092
2020-11-09,1214298,49286
2020-11-10,1234713,49818
2020-11-11,1257678,50413
2020-11-12,1291165,50976
2020-11-13,1318480,51352
2020-11-14,1345357,51814
2020-11-15,1370332,51982
2020-11-16,1391709,52195
2020-11-17,1411771,52793
2020-11-18,1431389,53322
2020-11-19,1454311,53823
2020-11-20,1474574,54334
2020-11-21,1494464,54674
2020-11-22,1513139,55072
2020-11-23,1528597,55278
2020-11-24,1539903,55886
2020-11-25,1558125,56581
2020-11-26,1575687,57079
2020-11-27,1590460,57599
2020-11-28,1606356,58078
2020-11-29,1618541,58293
2020-11-30,1630899,58496
2020-12-01,1644359,59099
2020-12-02,1660556,59747
2020-12-03,1675469,60161
2020-12-04,1691834,60665
2020-12-05,1707433,61062
2020-12-06,1724772,61293
2020-12-07,1739513,61482
2020-12-08,1751896,62081
2020-12-09,1768501,62614
2020-12-10,1789535,63130
2020-12-11,1811264,63554
2020-12-12,1832807,64074
2020-12-13,1851331,64218
2020-12-14,1871653,64450
2020-12-15,1890192,64956
2020-12-16,1915415,65568
2020-12-17,1950858,66100
2020-12-18,1979473,66589
2020-12-19,2006625,67124
2020-12-20,2042678,67453
2020-12-21,2076080,67668
2020-12-22,2112999,68359
2020-12-23,2152289,69105
2020-12-24,2191385,69680
2020-12-25,2224176,70251
2020-12-26,2258918,70462
2020-12-27,2291281,70809
2020-12-28,2332682,71166
2020-12-29,2385844,71624
2020-12-30,2435886,72605
2020-12-31,2491790,73569
2021-01-01,2545102,74183
2021-01-02,2602850,74630
2021-01-03,2657861,75084
2021-01-04,2716662,75491
2021-01-05,2777606,76365
2021-01-06,2839956,77409
2021-01-07,2892601,78575
2021-01-08,2960671,79902
2021-01-09,3020622,80940
2021-01-10,3075573,81504
2021-01-11,3121787,82033
2021-01-12,3167339,83276
2021-01-13,3214879,84842
2021-01-14,3263571,86090
2021-01-15,3319349,87371
2021-01-16,3360703,88666
2021-01-17,3399312,89339
2021-01-18,3436854,89938
2021-01-19,3470214,91548
2021-01-20,3509128,93368
2021-01-21,3547033,94658
2021-01-22,3587307,96059
2021-01-23,3620865,97407
2021-01-24,3650890,98018
2021-01-25,3673095,98610
2021-01-26,3693227,100241
2021-01-27,3718548,101966
2021-01-28,3747255,103205
2021-01-29,3776362,104451
2021-01-30,3799677,105652
2021-01-31,3820811,106240
2021-02-01,3839472,106646
2021-02-02,3856359,108095
2021-02-03,3875597,109417
2021-02-04,3896269,110333
2021-02-05,3915414,111347
2021-02-06,3933693,112175
2021-02-07,3949562,112548
2021-02-08,3963677,112881
2021-02-09,3976063,113933
2021-02-10,3989093,114934
2021-02-11,4002601,115612
2021-02-12,4017757,116370
2021-02-13,4031078,116991
2021-02-14,4042063,117250
2021-02-15,4051838,117480
2021-02-16,4062470,118279
2021-02-17,4075191,119018
2021-02-18,4087252,119472
2021-02-19,4099283,120005
2021-02-20,4109694,120450
2021-02-21,4119532,120665
2021-02-22,4130174,120842
2021-02-23,4138667,121390
2021-02-24,4148605,121832
2021-02-25,4158591,122155
2021-02-26,4167114,122501
2021-02-27,4174550,122791
2021-02-28,4180588,122935
2021-03-01,4186045,123039
2021-03-02,4192436,123382
2021-03-03,4198822,123869
2021-03-04,4205395,124111
2021-03-05,4211343,124347
2021-03-06,4217382,124505
2021-03-07,4222560,124587
2021-03-08,4227272,124652
2021-03-09,4233038,124883
2021-03-10,4238965,125073
2021-03-11,4245718,125254
2021-03-12,4252327,125429
2021-03-13,4257861,125550
2021-03-14,4262479,125602
2021-03-15,4267569,125666
2021-03-16,4272863,125776
2021-03-17,4278621,125917
2021-03-18,4284925,126012
2021-03-19,4289727,126112
2021-03-20,4295314,126208
2021-03-21,4300626,126241
2021-03-22,4305968,126258
2021-03-23,4311347,126370
2021-03-24,4316952,126468
2021-03-25,4323172,126531
2021-03-26,4329359,126601
2021-03-27,4333224,126659
2021-03-28,4337086,126678
2021-03-29,4341741,126701
2021-03-30,4345782,126756
2021-03-31,4349834,126799
2021-04-01,4354313,126850
2021-04-02,4357716,126902
2021-04-03,4361139,126912
2021-04-04,4363436,126922
2021-04-05,4366198,126948
2021-04-06,4368578,126968
2021-04-07,4371340,127013
2021-04-08,4374370,127066
2021-04-09,4369510,127126
2021-04-10,4372094,127166
2021-04-11,4373824,127173
2021-04-12,4377392,127186
2021-04-13,4379864,127209
2021-04-14,4382356,127247
2021-04-15,4385028,127277
2021-04-16,4387784,127311
2021-04-17,4389990,127346
2021-04-18,4391872,127356
2021-04-19,4394835,127360
2021-04-20,4397360,127393
2021-04-21,4399756,127413
2021-04-22,4402484,127431
2021-04-23,4405162,127471
2021-04-24,4407223,127503
2021-04-25,4408935,127514
2021-04-26,4410999,127520
2021-04-27,4413685,127537
2021-04-28,4415851,127566
2021-04-29,4418296,127588
2021-04-30,4420677,127603
2021-05-01,4422584,127610
2021-05-02,4424255,127624
2021-05-03,4425904,127625
2021-05-04,4427850,127629
2021-05-05,4429994,127656
2021-05-06,4432607,127669
2021-05-07,4435097,127684
2021-05-08,4437144,127689
2021-05-09,4438915,127691
2021-05-10,4441272,127695
2021-05-11,4443746,127715
2021-05-12,4446031,127726
2021-05-13,4448687,127737
2021-05-14,4450880,127754
2021-05-15,4452907,127761
2021-05-16,4454834,127765
2021-05-17,4456813,127770
2021-05-18,4454449,127777
2021-05-19,4456584,127780
2021-05-20,4459278,127787
2021-05-21,4461981,127796
2021-05-22,4464504,127802
2021-05-23,4466598,127807
2021-05-24,4468962,127810
2021-05-25,4471373,127825
2021-05-26,4474360,127834
2021-05-27,4477740,127844
2021-05-28,4481768,127854
2021-05-29,4485008,127861
2021-05-30,4488119,127867
2021-05-31,4491403,127868
2021-06-01,4494502,127868
2021-06-02,4498763,127880
2021-06-03,4503942,127898
2021-06-04,4510082,127909
2021-06-05,4515733,127922
2021-06-06,4520957,127926
2021-06-07,4526544,127927
2021-06-08,4532516,127940
2021-06-09,4539832,127946
2021-06-10,4547068,127953
2021-06-11,4555034,127970
2021-06-12,4562590,127982
2021-06-13,4569911,127990
2021-06-14,4577528,127993
2021-06-15,4585116,128003
2021-06-16,4593932,128012
2021-06-17,4604742,128031
2021-06-18,4615016,128042
2021-06-19,4625093,128056
2021-06-20,4634167,128062
2021-06-21,4644641,128067
2021-06-22,4656125,128094
2021-06-23,4672018,128113
2021-06-24,4688739,128134
2021-06-25,4704060,128152
2021-06-26,4722034,128175
2021-06-27,4736683,128186
2021-06-28,4759351,128189
2021-06-29,4779592,128212
2021-06-30,4805237,128226
2021-07-01,4832846,128248
2021-07-02,4859622,128275
2021-07-03,4884138,128293
2021-07-04,4908039,128308
2021-07-05,4935185,128317
2021-07-06,4963606,128354
2021-07-07,4995729,128387
2021-07-08,5027816,128422
2021-07-09,5063158,128451
2021-07-10,5095131,128485
2021-07-11,5126643,128511
2021-07-12,5160778,128517
2021-07-13,5197121,128567
2021-07-14,5239101,128616
2021-07-15,5287198,128679
2021-07-16,5338754,128728
2021-07-17,5392938,128769
2021-07-18,5440968,128794
2021-07-19,5480699,128813
2021-07-20,5527067,128909
2021-07-21,5570778,128982
2021-07-22,5610329,129066
2021-07-23,5646215,129130
2021-07-24,5677686,129216
2021-07-25,5706486,129244
2021-07-26,5730989,129258
2021-07-27,5754319,129389
2021-07-28,5779851,129516
2021-07-29,5810596,129601
2021-07-30,5839899,129669
2021-07-31,5865732,129740
2021-08-01,5889930,129805
2021-08-02,5911692,129829
2021-08-03,5933213,129968
2021-08-04,5962206,130088
2021-08-05,5992100,130175
2021-08-06,6023582,130268
2021-08-07,6051850,130372
2021-08-08,6078991,130411
2021-08-09,6103912,130448
2021-08-10,6127226,130594
2021-08-11,6156530,130698
2021-08-12,6189280,130792
2021-08-13,6221684,130892
2021-08-14,6250890,130986
2021-08-15,6277362,131045
2021-08-16,6305585,131071
2021-08-17,6332244,131241
2021-08-18,6365944,131352
2021-08-19,6402273,131465
2021-08-20,6439297,131580
2021-08-21,6471130,131684
2021-08-22,6503141,131733
2021-08-23,6534861,131773
2021-08-24,6565528,131947
2021-08-25,6601109,132097
2021-08-26,6639111,132237
2021-08-27,6676835,132337
2021-08-28,6708969,132471
2021-08-29,6741932,132532
2021-08-30,6768196,132580
2021-08-31,6800151,132630
2021-09-01,6835680,132837
2021-09-02,6873551,133015
2021-09-03,6915660,133136
2021-09-04,6952350,133256
2021-09-05,6988907,133324
2021-09-06,7029747,133369
2021-09-07,7066978,133578
2021-09-08,7105508,133770
2021-09-09,7143019,133937
2021-09-10,7179793,134084
2021-09-11,7208693,134240
2021-09-12,7237345,134296
2021-09-13,7267665,134357
2021-09-14,7293942,134542
2021-09-15,7323854,134743
2021-09-16,7350203,134901
2021-09-17,7382527,135081
2021-09-18,7412008,135245
2021-09-19,7441034,135302
2021-09-20,7476763,135351
2021-09-21,7507877,135554
2021-09-22,7541469,135720
2021-09-23,7577261,135902
2021-09-24,7612915,136082
2021-09-25,7642698,136204
2021-09-26,7675722,136267
2021-09-27,7713228,136307
2021-09-28,7747781,136474
2021-09-29,7782870,136624
2021-09-30,7818640,136761
2021-10-01,7853266,136888
2021-10-02,7882681,137009
2021-10-03,7912362,137052
2021-10-04,7946633,137085
2021-10-05,7979706,137251
2021-10-06,8018419,137394
2021-10-07,8058176,137516
2021-10-08,8093112,137640
2021-10-09,8132563,137797
2021-10-10,8166194,137835
2021-10-11,8205693,137863
2021-10-12,8243403,138044
2021-10-13,8284905,138180
2021-10-14,8329524,138337
2021-10-15,8373788,138479
2021-10-16,8416659,138627
2021-10-17,8461409,138684
2021-10-18,8510159,138729
2021-10-19,8553536,138952
2021-10-20,8602147,139131
2021-10-21,8653686,139248
2021-10-22,8702489,139428
2021-10-23,8747533,139563
2021-10-24,8786322,139635
2021-10-25,8822487,139673
2021-10-26,8866018,139936
2021-10-27,8909998,140143
2021-10-28,8949072,140309
2021-10-29,8992231,140495
2021-10-30,9033037,140661
2021-10-31,9070790,140735
2021-11-01,9110545,140775
2021-11-02,9144185,141067
2021-11-03,9185060,141284
2021-11-04,9221701,141498
2021-11-05,9255493,141691
2021-11-06,9285759,141846
2021-11-07,9315694,141908
2021-11-08,9347778,141965
2021-11-09,9380656,142227
2021-11-10,9420117,142441
2021-11-11,9462641,142636
2021-11-12,9501699,142781
2021-11-13,9539554,142938
2021-11-14,9575880,143001
2021-11-15,9615273,143048
2021-11-16,9652234,143262
2021-11-17,9690270,143463
2021-11-18,9737304,143662
2021-11-19,9781670,143819
2021-11-20,9821723,143969
2021-11-21,9861426,144030
2021-11-22,9906017,144075
2021-11-23,9948694,144240
2021-11-24,9991482,144389
2021-11-25,10038317,144536
2021-11-26,10087958,144696
2021-11-27,10127732,144827
2021-11-28,10164408,144878
2021-11-29,10206732,144913
2021-11-30,10246652,145072
2021-12-01,10294188,145244
2021-12-02,10347474,145385
2021-12-03,10398307,145528
2021-12-04,10440008,145655
2021-12-05,10483560,145709
2021-12-06,10534582,145750
2021-12-07,10579815,145930
2021-12-08,10630676,146092
2021-12-09,10680896,146240
2021-12-10,10739324,146362
2021-12-11,10791770,146494
2021-12-12,10840038,146546
2021-12-13,10894149,146584
2021-12-14,10953388,146734
2021-12-15,11031303,146898
2021-12-16,11119069,147044
2021-12-17,11211811,147155
2021-12-18,11301092,147281
2021-12-19,11383275,147328
2021-12-20,11475197,147371
2021-12-21,11564446,147543
2021-12-22,11670050,147683
2021-12-23,11792793,147831
2021-12-24,11914529,147969
2021-12-25,12036790,147979
2021-12-26,12156156,147982
2021-12-27,12263927,148125
2021-12-28,12402073,148144
2021-12-29,12584985,148202
2021-12-30,12774047,148534
2021-12-31,12964690,148737
2022-01-01,13127967,148891
2022-01-02,13263481,148964
2022-01-03,13451558,149006
2022-01-04,13670848,149055
2022-01-05,13865342,149398
2022-01-06,14045858,149630
2022-01-07,14224902,149859
2022-01-08,14366257,150174
2022-01-09,14508222,150272
2022-01-10,14650923,150348
2022-01-11,14766757,150727
2022-01-12,14896846,151127
2022-01-13,15002941,151462
2022-01-14,15101950,151734
2022-01-15,15183052,152021
2022-01-16,15253559,152109
2022-01-17,15341989,152197
2022-01-18,15436147,152635
2022-01-19,15543986,152994
2022-01-20,15650888,153326
2022-01-21,15747013,153614
2022-01-22,15822748,153911
2022-01-23,15897876,153988
2022-01-24,15992512,154042
2022-01-25,16086869,154482
2022-01-26,16188963,154828
2022-01-27,16285582,155169
2022-01-28,16374516,155446
2022-01-29,16447073,155742
2022-01-30,16509893,155828
2022-01-31,17357576,155884
2022-02-01,17470395,157005
2022-02-02,17557729,157540
2022-02-03,17650867,157863
2022-02-04,17733357,158118
2022-02-05,17793844,158378
2022-02-06,17847466,158453
2022-02-07,17911093,158498
2022-02-08,17977601,158812
2022-02-09,18045384,159088
2022-02-10,18207850,159295
2022-02-11,18266541,159488
2022-02-12,18312413,159655
2022-02-13,18353596,159707
2022-02-14,18394995,159742
2022-02-15,18441179,159978
2022-02-16,18495270,160177
2022-02-17,18546995,160360
2022-02-18,18594476,160518
2022-02-19,18633694,160646
2022-02-20,18664704,160720
2022-02-21,18703228,160750
2022-02-22,18744581,160955
